,day,ID,timestamps,date_time,price,market_caps,volumes,price_dif,%change,st_dev,>st_dev
1545,346,hex,1667779200000,2022-11-07 00:00:00,0.036589928263808635,0.0,9512983.254270794,-0.002687364466899815,-0.0684203080218595,0.07535705287673042,0
1546,347,hex,1667865600000,2022-11-08 00:00:00,0.032833520461680414,0.0,17718378.22805353,-0.0037564078021282213,-0.10266234399381732,0.07535521974073038,1
1547,348,hex,1667952000000,2022-11-09 00:00:00,0.03148589891457304,0.0,17554704.670706887,-0.0013476215471073735,-0.04104407715524035,0.07567930683404986,0
1548,349,hex,1668038400000,2022-11-10 00:00:00,0.030338714333083324,0.0,17846858.289926514,-0.0011471845814897165,-0.036434868339069386,0.07570978898208446,0
1549,350,hex,1668124800000,2022-11-11 00:00:00,0.03445491832368811,0.0,14218479.88936231,0.004116203990604788,0.13567496451608727,0.07570289017435039,1
1550,351,hex,1668211200000,2022-11-12 00:00:00,0.03461193323259441,0.0,8134468.503025664,0.00015701490890630138,0.004557111627176664,0.0763442348037541,0
1551,352,hex,1668297600000,2022-11-13 00:00:00,0.033741751573410333,0.0,5038547.59007125,-0.00087018165918408,-0.0251410879980729,0.07631863278171841,0
1552,353,hex,1668384000000,2022-11-14 00:00:00,0.032760925169051734,0.0,4864395.379268745,-0.0009808264043585993,-0.029068627401415772,0.07627743599971054,0
1553,354,hex,1668470400000,2022-11-15 00:00:00,0.03266363132045805,0.0,10981829.725761482,-9.729384859368667e-05,-0.0029698138282613965,0.07592967534277782,0
1554,355,hex,1668556800000,2022-11-16 00:00:00,0.033060094224985966,0.0,5250165.364363738,0.00039646290452791805,0.012137747350815934,0.07587813614521975,0
1555,356,hex,1668643200000,2022-11-17 00:00:00,0.03236611674803415,0.0,4139349.0048008887,-0.0006939774769518167,-0.020991394405262355,0.07479666075926718,0
1556,357,hex,1668729600000,2022-11-18 00:00:00,0.030714474599080787,0.0,7193127.796585138,-0.0016516421489533618,-0.05102997563196021,0.07478598617323745,0
1557,358,hex,1668816000000,2022-11-19 00:00:00,0.031135846789741687,0.0,3120019.692347201,0.0004213721906609,0.013719010211345457,0.07478509681862489,0
1558,359,hex,1668902400000,2022-11-20 00:00:00,0.03104208585108962,0.0,2111271.848372283,-9.376093865206755e-05,-0.003011350206250338,0.07456351697630599,0
1559,360,hex,1668988800000,2022-11-21 00:00:00,0.02928528038032507,0.0,5397924.500798026,-0.001756805470764549,-0.056594311322764504,0.07452929795272185,0
1560,361,hex,1669075200000,2022-11-22 00:00:00,0.02666541016673074,0.0,9713365.053129137,-0.0026198702135943296,-0.08946030837234036,0.07414230467340657,1
1561,362,hex,1669161600000,2022-11-23 00:00:00,0.027554231798270108,0.0,4583351.837175114,0.0008888216315393674,0.03333238176280937,0.07399208511578885,0
1562,363,hex,1669248000000,2022-11-24 00:00:00,0.02769477435170067,0.0,3593278.320778225,0.00014054255343056224,0.005100579630000271,0.07397306793805832,0
1563,364,hex,1669334400000,2022-11-25 00:00:00,0.028465085862676213,0.0,2883661.6373113664,0.0007703115109755423,0.027814327034884807,0.07397772703215931,0
1564,365,hex,1669420800000,2022-11-26 00:00:00,0.027611538919884254,0.0,4474553.774449342,-0.0008535469427919593,-0.02998574980274839,0.07394846936053126,0
1565,366,hex,1669507200000,2022-11-27 00:00:00,0.02718306884813486,0.0,3289741.0833352013,-0.00042847007174939486,-0.015517790333693975,0.0732312817145394,0
1566,367,hex,1669593600000,2022-11-28 00:00:00,0.026646176259219858,0.0,2021512.9833801764,-0.0005368925889150007,-0.019750992498841394,0.07297138996311177,0
1567,368,hex,1669680000000,2022-11-29 00:00:00,0.025022725350110755,0.0,6683347.104909832,-0.0016234509091091025,-0.06092622421002606,0.0722130790404646,0
1568,369,hex,1669766400000,2022-11-30 00:00:00,0.026841555413523458,0.0,3775089.9279127964,0.0018188300634127026,0.07268712891837947,0.07226817231033895,1
1569,370,hex,1669852800000,2022-12-01 00:00:00,0.02912394839093343,0.0,7551624.757629885,0.0022823929774099735,0.08503206845680955,0.07247571729727405,1
1570,371,hex,1669939200000,2022-12-02 00:00:00,0.03019065327304962,0.0,7916667.320778961,0.0010667048821161873,0.036626382789782135,0.07273057507129596,0
1571,372,hex,1670025600000,2022-12-03 00:00:00,0.03128159495387188,0.0,11440872.09148311,0.0010909416808222612,0.036135080316268456,0.07238533695401066,0
1572,373,hex,1670112000000,2022-12-04 00:00:00,0.02982220643082725,0.0,7611535.487885846,-0.0014593885230446309,-0.046653264489763334,0.07106413356492135,0
1573,374,hex,1670198400000,2022-12-05 00:00:00,0.02977834765666738,0.0,3676120.557955108,-4.385877415986894e-05,-0.001470675024049598,0.0710123419435052,0
1574,375,hex,1670284800000,2022-12-06 00:00:00,0.028643629415957224,0.0,4370593.081110622,-0.0011347182407101565,-0.038105480323925654,0.07070304838189673,0
1575,376,hex,1670371200000,2022-12-07 00:00:00,0.02881460809346318,0.0,3336221.2185025224,0.0001709786775059563,0.005969169445081039,0.07074388771085109,0
1576,377,hex,1670457600000,2022-12-08 00:00:00,0.02801145010088931,0.0,1865906.5737149469,-0.0008031579925738691,-0.02787329225401028,0.07074670359401845,0
1577,378,hex,1670544000000,2022-12-09 00:00:00,0.029668485759874283,0.0,3093715.6866896385,0.001657035658984972,0.059155654313389656,0.07074089139907913,0
1578,379,hex,1670630400000,2022-12-10 00:00:00,0.028606493645341933,0.0,2990880.9096378284,-0.00106199211453235,-0.03579529211998618,0.07047651645294914,0
1579,380,hex,1670716800000,2022-12-11 00:00:00,0.028836792927785137,0.0,1672484.9494825115,0.00023029928244320402,0.008050594571233104,0.06959761012052214,0
1580,381,hex,1670803200000,2022-12-12 00:00:00,0.02800567385511513,0.0,1724315.7843271932,-0.0008311190726700071,-0.028821480764221818,0.06960180492299933,0
1581,382,hex,1670889600000,2022-12-13 00:00:00,0.02710049735803456,0.0,3154193.81073806,-0.0009051764970805683,-0.0323211825490584,0.06952647231727381,0
1582,383,hex,1670976000000,2022-12-14 00:00:00,0.028370003621061488,0.0,4666318.589630599,0.0012695062630269267,0.04684438983738993,0.06881381005796329,0
1583,384,hex,1671062400000,2022-12-15 00:00:00,0.02802805730972996,0.0,4005283.697595432,-0.0003419463113315292,-0.012053093679469013,0.06880361200671635,0
1584,385,hex,1671148800000,2022-12-16 00:00:00,0.02669431849613506,0.0,4835176.601163864,-0.0013337388135948973,-0.04758584581357656,0.06585092836860904,0
1585,386,hex,1671235200000,2022-12-17 00:00:00,0.0248900510288249,0.0,14527522.285793224,-0.001804267467310161,-0.0675899430649032,0.0653095254560772,1
1586,387,hex,1671321600000,2022-12-18 00:00:00,0.025167248718691332,0.0,3271280.223695613,0.0002771976898664312,0.01113688716609747,0.06403492114064165,0
1587,388,hex,1671408000000,2022-12-19 00:00:00,0.0258980204709683,0.0,2013164.129652147,0.000730771752276968,0.029036616614124967,0.06400011638022618,0
1588,389,hex,1671494400000,2022-12-20 00:00:00,0.024367661292871715,0.0,3536180.6575632067,-0.0015303591780965846,-0.05909174331729788,0.06284816179100737,0
1589,390,hex,1671580800000,2022-12-21 00:00:00,0.024673432333711533,0.0,2856808.458293776,0.00030577104083981746,0.012548230918215563,0.06293577489740337,0
1590,391,hex,1671667200000,2022-12-22 00:00:00,0.0245325378553796,0.0,2074955.1402949826,-0.00014089447833193214,-0.005710372048214255,0.06193216558885398,0
1591,392,hex,1671753600000,2022-12-23 00:00:00,0.023924808263848803,0.0,3885951.076440695,-0.0006077295915307979,-0.02477238984052081,0.061928644891895576,0
1592,393,hex,1671840000000,2022-12-24 00:00:00,0.02262981541383588,0.0,3334722.845843506,-0.001294992850012923,-0.05412761664509141,0.06143363028934763,0
1593,394,hex,1671926400000,2022-12-25 00:00:00,0.022471959161845984,0.0,2779610.087099858,-0.00015785625198989559,-0.0069755872552713,0.061242414365249145,0
1594,395,hex,1672012800000,2022-12-26 00:00:00,0.022177234072023037,0.0,1563818.4158367722,-0.00029472508982294685,-0.013115237870463285,0.06075862894984261,0
1595,396,hex,1672099200000,2022-12-27 00:00:00,0.02215558290739336,0.0,3660931.26849371,-2.165116462967895e-05,-0.0009762788524197554,0.06043667515615836,0
1596,397,hex,1672185600000,2022-12-28 00:00:00,0.01995489734617351,0.0,5056545.934883251,-0.002200685561219849,-0.09932871414028455,0.06037758300677913,1
1597,398,hex,1672272000000,2022-12-29 00:00:00,0.019422173768567648,0.0,11977135.124307355,-0.0005327235776058613,-0.026696382765808352,0.060570127546388894,0
1598,399,hex,1672358400000,2022-12-30 00:00:00,0.018222530581742308,0.0,21567588.96755963,-0.0011996431868253402,-0.061766679730093456,0.059666544577788395,1
1599,400,hex,1672444800000,2022-12-31 00:00:00,0.01852974518162763,0.0,5524224.248612849,0.00030721459988532207,0.016859052506852667,0.059478483803633,0
1600,201,shiba-inu,1655251200000,2022-06-15 00:00:00,8.218656808253947e-06,4852624209.886621,462650752.34317684,2.46877919735733e-07,0.030968987372606668,0.06019589036352847,0
1601,202,shiba-inu,1655337600000,2022-06-16 00:00:00,8.803549721853369e-06,5168687203.674124,558842903.4834456,5.848929135994216e-07,0.07116648465136265,0.05997154828636935,1
1602,203,shiba-inu,1655424000000,2022-06-17 00:00:00,7.977337528222369e-06,4715162192.673863,366330201.852959,-8.26212193631e-07,-0.09384989234286525,0.06020513121720672,1
1603,204,shiba-inu,1655510400000,2022-06-18 00:00:00,8.17617304809948e-06,4831166804.717695,215559537.04591835,1.988355198771114e-07,0.024925047883917098,0.06052386587951944,0
1604,205,shiba-inu,1655596800000,2022-06-19 00:00:00,7.731324661189149e-06,4538541105.9250345,322685904.09680235,-4.4484838691033123e-07,-0.0544078977161246,0.059674503823839,0
1605,206,shiba-inu,1655683200000,2022-06-20 00:00:00,8.200411241865586e-06,4824681736.117665,315344319.22000057,4.6908658067643745e-07,0.060673506964625076,0.059562086678022534,1
1606,207,shiba-inu,1655769600000,2022-06-21 00:00:00,8.158436944527507e-06,4813661235.574084,258385501.65620452,-4.197429733807967e-08,-0.005118560045353354,0.05958088479578462,0
